Country.of.Origin,AVG_Aroma,AVG_Flavor,AVG_Aftertaste,AVG_Acidity,AVG_Body,AVG_Balance,AVG_Uniformity,AVG_Clean.Cup,AVG_Sweetness,AVG_Moisture,AVG_Quakers,AVG_Category.One.Defects,AVG_Category.Two.Defects,Rec_Cnt,id
Brazil,7.55310606060606,7.573560606060607,7.440530303030303,7.511439393939394,7.544545454545455,7.531515151515151,9.884924242424242,9.853484848484849,9.94939393939394,0.0823484848484848,0.4469696969696969,0.1287878787878787,3.5984848484848486,132,BRA
Burundi,7.415,7.46,7.25,7.415,7.29,7.415,10.0,10.0,10.0,0.06,0.0,0.0,2.5,2,BDI
China,7.64125,7.625625,7.484375,7.578125,7.57375,7.548125,9.958125,9.958125,9.91625,0.094375,0.5,0.0,4.0,16,CHN
Colombia,7.653060109289617,7.597103825136612,7.524699453551912,7.56,7.609508196721311,7.708415300546449,9.934426229508198,9.94535519125683,9.952677595628415,0.0620218579234972,0.2076502732240437,0.3770491803278688,1.9398907103825136,183,COL
Costa Rica,7.671372549019608,7.537254901960784,7.534509803921568,7.57392156862745,7.537450980392157,7.637254901960785,9.856274509803924,9.86921568627451,9.90843137254902,0.0833333333333333,0.1176470588235294,0.3529411764705882,2.823529411764706,51,CRI
Cote dIvoire,7.42,7.25,6.83,7.0,7.33,7.08,9.33,10.0,10.0,0.13,0.0,1.0,2.0,1,
Ecuador,7.583333333333333,7.640000000000001,7.553333333333334,7.693333333333332,6.026666666666666,6.97,10.0,10.0,8.723333333333334,0.03,0.0,0.0,0.3333333333333333,3,ECU
El Salvador,7.674761904761904,7.654285714285715,7.567142857142857,7.590476190476191,7.606666666666667,7.711428571428572,9.936190476190475,9.936190476190475,9.808571428571428,0.0457142857142857,0.0952380952380952,0.1428571428571428,3.571428571428572,21,SLV
Ethiopia,7.896363636363636,8.009090909090908,7.893863636363636,8.043636363636365,7.92409090909091,7.972272727272727,9.87840909090909,9.954318181818184,9.86340909090909,0.0829545454545454,0.3636363636363636,0.25,5.159090909090909,44,ETH
Guatemala,7.544861878453038,7.489005524861878,7.2668508287292815,7.596408839779006,7.475745856353591,7.469889502762431,9.852486187845304,9.889337016574586,9.870883977900553,0.1022651933701657,0.2762430939226519,0.1878453038674033,3.4198895027624308,181,GTM
Haiti,7.153333333333333,6.998333333333334,7.111666666666667,7.126666666666666,7.276666666666666,7.056666666666668,9.776666666666666,8.555,9.111666666666666,0.11,0.0,1.5,3.5,6,HTI
Honduras,7.292452830188679,7.234150943396226,7.061509433962264,7.233584905660377,7.239245283018868,7.163962264150944,9.647735849056604,9.635283018867923,9.660377358490566,0.1077358490566037,0.1886792452830188,0.0566037735849056,3.5660377358490565,53,HND
India,7.697857142857143,7.618571428571428,7.566428571428572,7.636428571428572,7.661428571428572,7.672857142857143,9.904285714285717,9.952142857142858,7.619285714285715,0.0378571428571428,0.5,1.4285714285714286,0.3571428571428571,14,IND
Indonesia,7.648999999999999,7.573,7.4155,7.491,7.6315,7.52,9.933,9.9665,9.9665,0.0985,0.05,0.3,4.2,20,IDN
Kenya,7.786799999999999,7.7824,7.7132,7.866,7.7264,7.8004,9.9732,9.9732,9.9732,0.08,0.24,0.04,2.52,25,KEN
Laos,7.503333333333333,7.5,7.28,7.3066666666666675,7.363333333333333,7.416666666666667,10.0,10.0,10.0,0.0833333333333333,0.0,0.0,0.0,3,LAO
Malawi,7.5672727272727265,7.387272727272728,7.257272727272727,7.408181818181817,7.338181818181818,7.371818181818182,10.0,10.0,10.0,0.1245454545454545,0.0,0.0,1.3636363636363635,11,MWI
Mauritius,7.25,7.25,7.17,7.17,7.25,7.17,10.0,10.0,10.0,0.12,0.0,0.0,0.0,1,MUS
Mexico,7.457584745762712,7.379025423728813,7.228050847457627,7.428347457627118,7.380466101694915,7.328686440677965,9.74406779661017,9.65813559322034,9.97177966101695,0.1136016949152542,0.0381355932203389,0.8432203389830508,6.779661016949152,236,MEX
Myanmar,7.30375,7.3325,7.125,7.40625,7.27,7.13375,10.0,10.0,10.0,0.01375,0.0,0.125,5.75,8,MMR
Nicaragua,7.32923076923077,7.316923076923077,7.201923076923077,7.266538461538461,7.40076923076923,7.278461538461538,9.794615384615383,9.76923076923077,9.820384615384617,0.1076923076923076,0.3076923076923077,0.2692307692307692,2.769230769230769,26,NIC
Panama,7.6675,7.625,7.605,7.705,7.5825,7.875,10.0,10.0,10.0,0.07,0.25,0.75,2.5,4,PAN
Papua New Guinea,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,0.12,0.0,0.0,1.0,1,PNG
Peru,7.693,7.657999999999999,7.540999999999999,7.699,7.802,7.665999999999999,9.533,9.466,9.866,0.066,0.1,1.3,3.7,10,PER
Philippines,7.364,7.231999999999999,7.302,7.266,7.298,7.4,9.866,10.0,9.866,0.074,0.0,0.0,2.0,5,PHL
Rwanda,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,0.11,0.0,0.0,0.0,1,RWA
Taiwan,7.5336,7.4636,7.395466666666667,7.415466666666666,7.45,7.426000000000001,9.893066666666668,9.982133333333334,9.9644,0.0810666666666666,0.0666666666666666,0.4533333333333333,0.3333333333333333,75,TWN
Tanzania,7.571250000000001,7.42975,7.425,7.5,7.479000000000001,7.46975,10.0,10.0,10.0,0.119,0.0,0.025,4.025,40,TZA
Thailand,7.4840625,7.528125,7.4734375,7.5971875,7.5521875,7.5240625,9.9375,9.9584375,9.958125,0.0909375,0.0,0.0625,0.5,32,THA
Uganda,7.884166666666666,7.752777777777778,7.6225,7.708611111111111,7.720000000000001,7.6625,10.0,10.0,9.363333333333332,0.1136111111111111,0.1388888888888889,0.3888888888888889,3.583333333333333,36,UGA
United States,7.605977011494253,7.622528735632184,7.541609195402299,7.651609195402299,7.652413793103448,7.664137931034483,9.501379310344827,9.60896551724138,9.6432183908046,0.050919540229885,0.0,1.160919540229885,3.160919540229885,87,USA
Vietnam,7.38625,7.375,7.1975,7.3625,7.5425,7.4575,9.66625,9.91625,9.58375,0.0675,0.0,9.25,3.75,8,VNM
Zambia,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,0.0,0.0,1.0,3.0,1,ZMB
