CO_ANO,CO_MES,NO_NCM_ING,NO_PAIS_ING,KG_LIQUIDO
2023,1,"Coffee not roasted or decaffeinated, in grain",Germany,34244241
2023,1,"Soluble coffee, including decaffeinated",Germany,171360
2023,2,"Coffee not roasted or decaffeinated, in grain",Germany,18135760
2023,2,"Coffee roasted, not decaffeinated",Germany,12
2023,2,"Soluble coffee, including decaffeinated",Germany,0
2023,3,"Coffee not roasted or decaffeinated, except in grain",Germany,24
2023,3,"Coffee not roasted or decaffeinated, in grain",Germany,19412710
2023,3,"Coffee roasted, not decaffeinated",Germany,55
2023,3,"Soluble coffee, including decaffeinated",Germany,284480
2023,4,"Coffee not roasted or decaffeinated, in grain",Germany,19773754
2023,4,"Coffee roasted, not decaffeinated",Germany,4
2023,4,"Soluble coffee, including decaffeinated",Germany,67521
2023,5,"Coffee not roasted or decaffeinated, in grain",Germany,16947811
2023,5,"Soluble coffee, including decaffeinated",Germany,60480
2023,6,"Coffee not roasted or decaffeinated, in grain",Germany,17211925
2023,6,"Soluble coffee, including decaffeinated",Germany,218400
2023,7,"Coffee not roasted or decaffeinated, in grain",Germany,16065502
2023,7,"Coffee roasted, not decaffeinated",Germany,26
2023,7,"Soluble coffee, including decaffeinated",Germany,186552
2023,8,"Coffee not roasted or decaffeinated, in grain",Germany,25804627
2023,8,"Soluble coffee, including decaffeinated",Germany,116640
2023,9,"Coffee not roasted or decaffeinated, in grain",Germany,21607968
2023,9,"Coffee roasted, not decaffeinated",Germany,6
2023,9,"Soluble coffee, including decaffeinated",Germany,95314
2023,10,"Coffee not roasted or decaffeinated, except in grain",Germany,6
2023,10,"Coffee not roasted or decaffeinated, in grain",Germany,36792234
2023,10,"Coffee roasted, not decaffeinated",Germany,6
2023,10,"Soluble coffee, including decaffeinated",Germany,160800
2023,11,"Coffee not roasted or decaffeinated, in grain",Germany,40696621
2023,11,"Coffee roasted, not decaffeinated",Germany,1251
2023,11,"Soluble coffee, including decaffeinated",Germany,162720
2023,12,"Coffee not roasted or decaffeinated, in grain",Germany,38259180
2023,12,"Coffee roasted, not decaffeinated",Germany,15
2023,12,"Soluble coffee, including decaffeinated",Germany,229206
